n,m,prob,eps,time,success,heavy_ranges,tries,red_points,blue_points,k,ratios,counts
512,4096,0.9,0.6,0.0006229877471923828,True,5,-10,133,57,2,"[0.7, 0.3]","[133, 57]"
512,4096,0.9,0.6,0.0006163120269775391,True,5,-10,152,38,2,"[0.8, 0.2]","[152, 38]"
512,4096,0.9,0.6,0.0007648468017578125,True,3,-10,47,47,4,"[0.25, 0.25, 0.25, 0.25]","[47, 47, 47, 47]"
512,4096,0.9,0.6,0.0010347366333007812,True,4,-10,31,31,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[31, 31, 31, 31, 31, 31, 31, 31]"
512,4096,0.9,0.6,0.0015416145324707031,True,4,-10,19,19,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]","[19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]"
1024,512,0.9,0.2,0.0030112266540527344,True,53,-10,379,379,2,"[0.5, 0.5]","[379, 379]"
1024,512,0.9,0.2,0.0030329227447509766,True,35,-10,455,303,2,"[0.6, 0.4]","[455, 303]"
1024,512,0.9,0.2,0.0028939247131347656,True,53,-10,531,227,2,"[0.7, 0.3]","[531, 227]"
1024,512,0.9,0.2,0.0028994083404541016,True,54,-10,607,151,2,"[0.8, 0.2]","[607, 151]"
1024,512,0.9,0.2,0.003313302993774414,True,39,-10,189,189,4,"[0.25, 0.25, 0.25, 0.25]","[189, 189, 189, 189]"
1024,512,0.9,0.2,0.00434565544128418,True,50,-10,126,126,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[126, 126, 126, 126, 126, 126, 126, 126]"
1024,512,0.9,0.2,0.005457162857055664,True,46,-10,72,71,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]","[72, 71, 75, 69, 68, 68, 72, 71, 66, 68, 71, 77, 73, 73, 70, 70]"
1024,512,0.9,0.3,0.0020029544830322266,True,27,-10,229,229,2,"[0.5, 0.5]","[229, 229]"
1024,512,0.9,0.3,0.002132892608642578,True,12,-10,275,183,2,"[0.6, 0.4]","[275, 183]"
1024,512,0.9,0.3,0.001966714859008789,True,25,-10,321,137,2,"[0.7, 0.3]","[321, 137]"
1024,512,0.9,0.3,0.0020334720611572266,True,24,-10,367,91,2,"[0.8, 0.2]","[367, 91]"
1024,512,0.9,0.3,0.002415895462036133,True,11,-10,114,114,4,"[0.25, 0.25, 0.25, 0.25]","[114, 114, 114, 114]"
1024,512,0.9,0.3,0.0031218528747558594,True,13,-10,76,76,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[76, 76, 76, 76, 76, 76, 76, 76]"
1024,512,0.9,0.3,0.004320383071899414,True,21,-10,47,47,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]","[47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47, 47]"
1024,512,0.9,0.4,0.001619577407836914,True,6,-10,159,159,2,"[0.5, 0.5]","[159, 159]"
1024,512,0.9,0.4,0.001529693603515625,True,7,-10,191,127,2,"[0.6, 0.4]","[191, 127]"
1024,512,0.9,0.4,0.0015833377838134766,True,6,-10,223,95,2,"[0.7, 0.3]","[223, 95]"
1024,512,0.9,0.4,0.0015561580657958984,True,11,-10,255,63,2,"[0.8, 0.2]","[255, 63]"
1024,512,0.9,0.4,0.0023593902587890625,True,10,-10,79,79,4,"[0.25, 0.25, 0.25, 0.25]","[79, 79, 79, 79]"
1024,512,0.9,0.4,0.0024328231811523438,True,9,-10,53,53,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[53, 53, 53, 53, 53, 53, 53, 53]"
1024,512,0.9,0.4,0.003841876983642578,True,4,-10,33,33,16,"[0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625, 0.0625]","[33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33, 33]"
1024,512,0.9,0.5,0.0012192726135253906,True,4,-10,120,120,2,"[0.5, 0.5]","[120, 120]"
1024,512,0.9,0.5,0.001302480697631836,True,1,-10,144,95,2,"[0.6, 0.4]","[144, 95]"
1024,512,0.9,0.5,0.0012917518615722656,True,2,-10,167,72,2,"[0.7, 0.3]","[167, 72]"
1024,512,0.9,0.5,0.0012652873992919922,True,2,-10,192,47,2,"[0.8, 0.2]","[192, 47]"
1024,512,0.9,0.5,0.0015702247619628906,True,3,-10,60,60,4,"[0.25, 0.25, 0.25, 0.25]","[60, 60, 60, 60]"
1024,512,0.9,0.5,0.0020902156829833984,True,3,-10,40,40,8,"[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[40, 40, 40, 40, 40, 40, 40, 40]"
