n,m,dim,prob,eps,time,success,heavy_ranges,tries,red_points,blue_points
4096,512,16,0.9,0.94,3.933906555175781e-05,True,239,0,72,76
4096,512,16,0.9,0.96,3.814697265625e-05,True,235,0,63,81
4096,512,16,0.9,0.98,5.412101745605469e-05,True,211,0,74,66
4096,512,32,0.9,0.9,4.00543212890625e-05,True,251,0,73,80
4096,512,32,0.9,0.92,5.53131103515625e-05,True,235,0,71,77
4096,512,32,0.9,0.94,3.886222839355469e-05,True,251,0,76,68
4096,512,32,0.9,0.96,4.076957702636719e-05,True,244,0,72,68
4096,512,32,0.9,0.98,5.054473876953125e-05,True,233,0,69,67
4096,1024,4,0.9,0.9,4.267692565917969e-05,True,352,0,89,96
4096,1024,4,0.9,0.92,4.220008850097656e-05,True,378,0,92,88
4096,1024,4,0.9,0.94,3.933906555175781e-05,True,321,0,79,96
4096,1024,4,0.9,0.96,5.841255187988281e-05,True,299,0,94,76
4096,1024,4,0.9,0.98,4.124641418457031e-05,True,300,0,83,82
4096,1024,8,0.9,0.9,4.1484832763671875e-05,True,418,0,79,88
4096,1024,8,0.9,0.92,4.00543212890625e-05,True,430,0,85,77
4096,1024,8,0.9,0.94,4.1961669921875e-05,True,443,0,77,80
4096,1024,8,0.9,0.96,4.0531158447265625e-05,True,427,0,80,73
4096,1024,8,0.9,0.98,3.886222839355469e-05,True,411,0,82,67
4096,1024,16,0.9,0.9,4.3392181396484375e-05,True,459,0,79,78
4096,1024,16,0.9,0.92,4.029273986816406e-05,True,478,0,66,87
4096,1024,16,0.9,0.94,5.53131103515625e-05,True,427,0,69,79
4096,1024,16,0.9,0.96,5.435943603515625e-05,True,479,0,71,73
4096,1024,16,0.9,0.98,3.910064697265625e-05,True,465,0,67,73
4096,1024,32,0.9,0.9,4.410743713378906e-05,True,472,0,84,69
4096,1024,32,0.9,0.92,3.933906555175781e-05,True,507,0,83,65
4096,1024,32,0.9,0.94,3.8623809814453125e-05,True,484,0,79,65
4096,1024,32,0.9,0.96,5.4836273193359375e-05,True,492,0,68,72
4096,1024,32,0.9,0.98,5.269050598144531e-05,True,465,0,59,77
4096,2048,4,0.9,0.9,5.936622619628906e-05,True,712,0,99,86
4096,2048,4,0.9,0.92,5.91278076171875e-05,True,710,0,102,78
4096,2048,4,0.9,0.94,4.029273986816406e-05,True,700,0,89,86
4096,2048,4,0.9,0.96,4.1484832763671875e-05,True,661,0,80,90
4096,2048,4,0.9,0.98,6.628036499023438e-05,True,588,0,87,78
4096,2048,8,0.9,0.9,4.100799560546875e-05,True,911,0,80,87
4096,2048,8,0.9,0.92,4.172325134277344e-05,True,900,0,86,76
4096,2048,8,0.9,0.94,4.506111145019531e-05,True,895,0,81,76
4096,2048,8,0.9,0.96,5.698204040527344e-05,True,805,0,74,79
4096,2048,8,0.9,0.98,4.100799560546875e-05,True,819,0,68,81
4096,2048,16,0.9,0.9,5.91278076171875e-05,True,972,0,73,84
4096,2048,16,0.9,0.92,4.124641418457031e-05,True,977,0,71,82
4096,2048,16,0.9,0.94,4.2438507080078125e-05,True,916,0,78,70
4096,2048,16,0.9,0.96,5.817413330078125e-05,True,907,0,69,75
4096,2048,16,0.9,0.98,4.124641418457031e-05,True,914,0,77,63
4096,2048,32,0.9,0.9,4.363059997558594e-05,True,973,0,79,74
4096,2048,32,0.9,0.92,4.124641418457031e-05,True,971,0,76,72
4096,2048,32,0.9,0.94,4.0531158447265625e-05,True,964,0,73,71
4096,2048,32,0.9,0.96,4.076957702636719e-05,True,1011,0,83,57
4096,2048,32,0.9,0.98,5.888938903808594e-05,True,975,0,69,67
4096,4096,4,0.9,0.9,4.1961669921875e-05,True,1461,0,77,108
4096,4096,4,0.9,0.92,4.57763671875e-05,True,1348,0,90,90
4096,4096,4,0.9,0.94,4.5299530029296875e-05,True,1345,0,85,90
4096,4096,4,0.9,0.96,5.91278076171875e-05,True,1271,0,87,83
4096,4096,4,0.9,0.98,4.38690185546875e-05,True,1189,0,79,86
4096,4096,8,0.9,0.9,4.220008850097656e-05,True,1747,1,76,91
4096,4096,8,0.9,0.92,4.458427429199219e-05,True,1740,0,81,81
4096,4096,8,0.9,0.94,5.9604644775390625e-05,True,1706,0,85,72
4096,4096,8,0.9,0.96,4.4345855712890625e-05,True,1703,0,72,81
4096,4096,8,0.9,0.98,3.9577484130859375e-05,True,1631,0,78,71
4096,4096,16,0.9,0.9,4.2438507080078125e-05,True,1876,0,85,72
4096,4096,16,0.9,0.92,4.100799560546875e-05,True,1841,0,68,85
4096,4096,16,0.9,0.94,4.1484832763671875e-05,True,1890,0,78,70
4096,4096,16,0.9,0.96,4.029273986816406e-05,True,1852,0,67,77
4096,4096,16,0.9,0.98,4.029273986816406e-05,True,1842,0,76,64
4096,4096,32,0.9,0.9,4.00543212890625e-05,True,1984,0,75,78
4096,4096,32,0.9,0.92,4.100799560546875e-05,True,1932,0,84,64
4096,4096,32,0.9,0.94,3.8623809814453125e-05,True,1985,0,74,70
4096,4096,32,0.9,0.96,4.315376281738281e-05,True,1922,0,62,78
4096,4096,32,0.9,0.98,5.14984130859375e-05,True,2000,0,81,55
